_id,timeStampID,rssiLVNGRM,rssiBDRM,rssiKTCHN
ObjectId(61ab8bbea3245215261db8fc),1636647120,-100,-100,-100
ObjectId(61ab8bbea3245215261db8fd),1636647180,-100,-100,-100
ObjectId(61ab8bbea3245215261db8fe),1636647240,-100,-100,-100
ObjectId(61ab8bbea3245215261db8ff),1636647300,-100,-100,-100
ObjectId(61ab8bbea3245215261db900),1636647360,-100,-100,-100
ObjectId(61ab8bbea3245215261db901),1636647420,-100,-100,-100
ObjectId(61ab8bbea3245215261db902),1636647480,-100,-100,-100
ObjectId(61ab8bbea3245215261db903),1636647540,-100,-100,-100
ObjectId(61ab8bbea3245215261db904),1636647600,-100,-100,-100
ObjectId(61ab8bbea3245215261db905),1636647660,-100,-100,-100
ObjectId(61ab8bbea3245215261db906),1636647720,-100,-100,-100
ObjectId(61ab8bbea3245215261db907),1636647780,-100,-100,-100
ObjectId(61ab8bbea3245215261db908),1636647840,-100,-100,-100
ObjectId(61ab8bbea3245215261db909),1636647900,-100,-100,-100
ObjectId(61ab8bbea3245215261db90a),1636647960,-100,-100,-100
ObjectId(61ab8bbea3245215261db90b),1636648020,-100,-100,-100
ObjectId(61ab8bbea3245215261db90c),1636648080,-100,-100,-100
ObjectId(61ab8bbea3245215261db90d),1636648140,-100,-100,-100
ObjectId(61ab8bbea3245215261db90e),1636648200,-100,-100,-100
ObjectId(61ab8bbea3245215261db90f),1636648260,-100,-100,-100
ObjectId(61ab8bbea3245215261db910),1636648320,-100,-100,-100
ObjectId(61ab8bbea3245215261db911),1636648380,-100,-100,-100
ObjectId(61ab8bbea3245215261db912),1636648440,-100,-100,-100
ObjectId(61ab8bbea3245215261db913),1636648500,-100,-100,-100
ObjectId(61ab8bbea3245215261db914),1636648560,-100,-100,-100
ObjectId(61ab8bbea3245215261db915),1636648620,-100,-100,-100
ObjectId(61ab8bbea3245215261db916),1636648680,-100,-100,-100
ObjectId(61ab8bbea3245215261db917),1636648740,-100,-100,-100
ObjectId(61ab8bbea3245215261db918),1636648800,-100,-100,-100
ObjectId(61ab8bbea3245215261db919),1636648860,-100,-100,-100
ObjectId(61ab8bbea3245215261db91a),1636648920,-100,-100,-100
ObjectId(61ab8bbea3245215261db91b),1636648980,-100,-100,-100
ObjectId(61ab8bbea3245215261db91c),1636649040,-100,-100,-100
ObjectId(61ab8bbfa3245215261db91d),1636649100,-100,-100,-100
